Nyckeltal;Kommun/Landsting;År;Visat Värde
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Alla kommuner (ovägt medel);2010;10,19433577
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Alla kommuner (ovägt medel);2013;9,99369809
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ale;2010;8,45463
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ale;2013;7,303713
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Alingsås;2010;9,364768
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Alingsås;2013;8,761603
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Alvesta;2010;11,653245
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Alvesta;2013;13,117871
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Aneby;2010;10,06865
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Aneby;2013;10,545455
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Arboga;2010;14,391392
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Arboga;2013;11,190168
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Arjeplog;2010;14,784946
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Arjeplog;2013;9,287926
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Arvidsjaur;2010;16,927454
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Arvidsjaur;2013;11,840228
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Arvika;2010;13,274336
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Arvika;2013;12,209711
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Askersund;2010;9,162304
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Askersund;2013;9,324453
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Avesta;2010;9,885621
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Avesta;2013;11,302847
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bengtsfors;2010;11,636364
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bengtsfors;2013;14,312618
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Berg;2010;12,808461
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Berg;2013;10,331633
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bjurholm;2010;7,067138
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bjurholm;2013;11,469534
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bjuv;2010;9,488212
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bjuv;2013;9,304997
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Boden;2010;12,604502
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Boden;2013;14,672897
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bollebygd;2010;6,606943
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bollebygd;2013;8,388521
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bollnäs;2010;14,315139
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bollnäs;2013;13,690063
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Borgholm;2010;6,47619
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Borgholm;2013;9,737098
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Borlänge;2010;7,766687
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Borlänge;2013;7,948359
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Borås;2010;8,029639
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Borås;2013;7,917282
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Botkyrka;2010;5,791618
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Botkyrka;2013;7,091939
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Boxholm;2010;14,634146
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Boxholm;2013;11,692845
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bromölla;2010;15,912409
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bromölla;2013;20,230769
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bräcke;2010;18,975069
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Bräcke;2013;12,656467
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Burlöv;2010;11,536472
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Burlöv;2013;10,418848
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Båstad;2010;6,551724
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Båstad;2013;8,528785
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Dals-Ed;2010;9,70696
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Dals-Ed;2013;12,45283
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Danderyd;2010;1,41218
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Danderyd;2013;1,195327
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Degerfors;2010;12,54717
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Degerfors;2013;10,019455
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Dorotea;2010;8,598726
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Dorotea;2013;7,638889
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Eda;2010;11,580087
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Eda;2013;8,269019
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ekerö;2010;1,982379
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ekerö;2013;2,514845
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Eksjö;2010;7,802548
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Eksjö;2013;10,637119
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Emmaboda;2010;10,490196
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Emmaboda;2013;14,931651
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Enköping;2010;7,584873
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Enköping;2013;7,343457
